cluster,long,lat,region
251,43.36978681,8.671899268,Somali
252,38.76997983,8.89857077,Addis Adaba
253,37.10592175,14.03387665,Tigray
254,39.96506574,11.26060624,Amhara
255,38.16361766,14.2223987,Tigray
256,35.12673447,11.34004216,Benishangul
257,42.12320869,9.311460572,Harari
258,37.69465705,13.6889258,Tigray
259,36.49812358,11.57418401,Amhara
260,33.80576843,8.303775605,Gambela
261,38.73747297,8.928872852,Addis Adaba
262,37.733714,8.315696,SNNPR
263,39.89848772,14.03414176,Afar
264,38.77097854,8.983617735,Addis Adaba
265,34.53707191,8.00171112,Gambela
266,33.25855703,8.389746723,Gambela
267,38.8275865,10.45537622,Amhara
268,37.77339248,14.39026822,Tigray
269,46.95523029,7.453674322,Somali
270,34.42216866,7.629380184,Gambela
271,38.04918454,7.834726896,SNNPR
272,37.86145877,7.631441044,SNNPR
273,41.85952821,9.579412512,Dire Dawa
274,38.70704631,9.065960045,Addis Adaba
275,34.40985964,9.422599066,Benishangul
276,40.34452466,10.71742228,Afar
277,43.16584315,9.107167766,Somali
278,42.6881455,6.273056044,Somali
279,36.77508217,12.66991483,Amhara
280,36.99512613,9.164659481,Oromia
281,42.03721496,9.561432432,Dire Dawa
282,41.84441211,9.586315678,Dire Dawa
283,40.26579577,10.3819872,Afar
284,34.26603383,7.63806616,Gambela
285,34.37939813,10.50009521,Benishangul
286,40.7178009,7.125013017,Oromia
287,38.83655412,9.058263729,Addis Adaba
288,42.15725084,9.371360808,Harari
289,40.35166277,6.791952928,Oromia
290,39.12129313,8.593580119,Oromia
291,34.59200902,8.249575856,Gambela
292,37.04313339,12.19039292,Amhara
293,38.76862096,8.998961802,Addis Adaba
294,36.59574878,9.278782348,Oromia
295,39.90171746,9.957003913,Amhara
296,37.1215939,13.49526497,Tigray
297,38.0681459,7.598500281,SNNPR
298,39.70009369,13.72070035,Tigray
299,35.32395613,7.313583337,Gambela
300,39.28442117,12.549383,Tigray
302,38.75166613,8.98551507,Addis Adaba
303,38.98628328,9.041753958,Oromia
304,35.54688585,9.306441022,Oromia
305,38.74826158,9.030172529,Addis Adaba
306,37.17149224,7.050248585,SNNPR
307,42.29961234,9.748678267,Dire Dawa
308,38.47302269,7.04543171,SNNPR
309,33.4510405,8.342595436,Gambela
310,39.53005593,10.25813366,Amhara
311,41.92932965,9.551148545,Dire Dawa
312,37.74692636,12.76753498,Amhara
313,38.62688697,6.620913115,SNNPR
314,38.71008375,9.003439182,Addis Adaba
315,34.09130619,8.342021833,Gambela
316,38.52529507,6.00549842,Oromia
317,34.53737748,10.05048376,Benishangul
318,42.17535633,6.467859013,Somali
319,39.89332961,8.152924802,Oromia
320,35.95526304,9.929210996,Benishangul
321,42.14847437,9.313712582,Harari
322,37.80877137,13.07316762,Amhara
324,34.76060913,10.36041533,Benishangul
325,35.56589714,6.949497097,SNNPR
326,35.06338557,7.528248062,Gambela
327,37.80586627,12.55793788,Amhara
329,42.12335883,9.351878252,Harari
330,38.81252198,8.997233806,Addis Adaba
331,37.71394981,7.555537653,SNNPR
332,39.97818126,12.13898186,Afar
333,40.96843647,9.299405393,Oromia
334,40.91845163,11.43028208,Afar
335,35.05548171,9.976028561,Benishangul
336,40.44049641,9.963903544,Afar
337,35.21250963,6.18948814,SNNPR
338,36.52051013,6.934084185,SNNPR
339,38.7122314,9.039166911,Addis Adaba
340,38.21560022,13.7690669,Tigray
341,39.53792269,14.0418279,Tigray
